pathloss,doppler shift,label
1.895759659,3.259807372,RA
3.140685822,7.628376512,RA
14.84282819,3.963731161,RA
1.811784615,7.534957618,RA
1.188191979,1.661453348,RA
-9.078076122,1.820373535,RA
-12.19757017,2.777331033,RA
-3.638611833,2.071679042,RA
-0.940437136,2.928139078,RA
-5.933038138,2.624819077,RA
-6.559720742,3.445732318,RA
8.018110328,3.240397932,RA
-11.27532998,2.858098709,RA
-8.314311709,3.284332911,RA
1.480320618,4.837417107,RA
-16.37773442,2.69916889,NA
-13.54037091,1.992483772,NA
5.128525984,2.66809926,NA
-0.649549816,2.8211789,NA
-13.96204571,2.130677954,NA
4.851439435,2.875960071,NA
5.185057348,2.762294329,NA
-6.13523416,4.649419266,NA
-13.71751122,2.256797754,NA
-13.57798515,1.993719676,NA
-13.85344731,2.148113359,NA
17.13201711,3.205372589,NA
-6.086343239,4.669733191,NA
-8.460994,4.806442858,NA
-14.26203324,1.918275732,NA
2.935470651,2.129993556,NA
11.54216175,5.614908152,NA
9.485897225,6.909797993,NA
-10.28698573,1.991576311,NA
6.585311435,5.143174989,NA
-18.01987872,2.499827652,NA
-13.98616317,2.176277521,NA
-2.953933971,2.904551118,NA
1.178922982,2.820396516,NA
0.471111041,2.503458548,NA
1.627521012,2.290835905,NA
-13.36538527,4.210445876,NA
-3.652937611,2.453758548,NA
2.561964815,8.913080756,NA
-11.05216946,4.375155876,NA
2.0249914,4.961668326,NA
-16.11491688,1.52077442,NA
-17.17861173,2.046422251,NA
-4.189355763,2.204846094,NA
-15.65179245,2.027694634,NA
